Order ID,Assigned Plant,Origin Port,Assigned Carrier,Manufacturing Day,Total Cost ($)
1447142693,PLANT03,PORT04,V444_0,Day 2,6467.67
1447142776,PLANT04,PORT05,V444_4,Day 1,269.01
1447143191,PLANT16,PORT09,V444_8,Day 1,1796.93
1447143195,PLANT16,PORT09,V444_8,Day 1,2319.12
1447143196,PLANT16,PORT09,V444_8,Day 1,4031.58
1447143210,PLANT16,PORT09,V444_8,Day 1,1015.57
1447143918,PLANT03,PORT04,V444_0,Day 2,257.78
1447144039,PLANT03,PORT04,V444_4,Day 2,259.23
1447144040,PLANT02,PORT03,V444_8,Day 2,249.67
1447144046,PLANT02,PORT03,V444_8,Day 2,270.68
1447144366,PLANT03,PORT04,V444_0,Day 2,516.97
1447144381,PLANT03,PORT04,V444_4,Day 2,318.23
1447144414,PLANT03,PORT04,V444_0,Day 2,312.12
1447144416,PLANT03,PORT04,V444_0,Day 2,435.8
1447144417,PLANT03,PORT04,V444_0,Day 2,702.83
1447144418,PLANT03,PORT04,V444_0,Day 2,1070.78
1447144467,PLANT03,PORT04,V444_4,Day 2,268.84
1447144468,PLANT03,PORT04,V444_1,Day 2,260.4
1447144469,PLANT03,PORT04,V444_1,Day 2,288.3
1447144470,PLANT03,PORT04,V444_1,Day 2,281.62
1447144471,PLANT03,PORT04,V444_0,Day 2,332.71
1447144472,PLANT03,PORT04,V444_4,Day 2,263.89
1447144473,PLANT03,PORT04,V444_0,Day 2,489.51
1447144474,PLANT03,PORT04,V444_0,Day 2,375.14
1447144475,PLANT03,PORT04,V444_0,Day 2,269.06
1447144476,PLANT03,PORT04,V444_0,Day 2,239.56
1447144477,PLANT03,PORT04,V444_1,Day 2,247.37
1447144478,PLANT03,PORT04,V444_0,Day 2,356.0
1447144479,PLANT04,PORT05,V444_4,Day 1,141.25
1447144480,PLANT03,PORT04,V444_1,Day 2,263.93
1447144481,PLANT03,PORT04,V444_1,Day 2,273.77
1447144482,PLANT03,PORT04,V444_0,Day 2,439.31
1447144652,PLANT03,PORT04,V444_0,Day 2,327.65
1447144653,PLANT03,PORT04,V444_0,Day 2,499.48
1447144654,PLANT03,PORT04,V444_0,Day 2,505.98
1447144655,PLANT03,PORT04,V444_0,Day 2,588.47
1447144656,PLANT03,PORT04,V444_0,Day 2,1270.01
1447144657,PLANT03,PORT04,V444_0,Day 2,425.97
1447144658,PLANT03,PORT04,V444_0,Day 2,8685.59
1447144798,PLANT03,PORT04,V444_0,Day 2,1286.46
1447144799,PLANT03,PORT04,V444_0,Day 2,6445.42
1447144804,PLANT03,PORT04,V444_0,Day 2,1293.71
1447144805,PLANT03,PORT04,V444_1,Day 2,496.81
1447144879,PLANT02,PORT03,V444_8,Day 2,269.72
1447144880,PLANT02,PORT03,V444_8,Day 2,353.76
1447144969,PLANT03,PORT04,V444_0,Day 2,274.34
1447145074,PLANT03,PORT04,V444_0,Day 2,679.95
1447145081,PLANT03,PORT04,V444_0,Day 2,924.21
1447145082,PLANT03,PORT04,V444_0,Day 2,684.32
1447145083,PLANT03,PORT04,V444_0,Day 2,274.23
1447145084,PLANT03,PORT04,V444_0,Day 2,648.38
1447145087,PLANT03,PORT04,V444_1,Day 2,310.08
1447145088,PLANT03,PORT04,V444_1,Day 2,311.07
1447145089,PLANT03,PORT04,V444_1,Day 2,248.97
1447145090,PLANT03,PORT04,V444_0,Day 2,554.2
1447145091,PLANT03,PORT04,V444_0,Day 2,320.29
1447145092,PLANT03,PORT04,V444_0,Day 2,331.16
1447145110,PLANT03,PORT04,V444_0,Day 2,397.91
1447145111,PLANT03,PORT04,V444_1,Day 2,288.3
1447145112,PLANT03,PORT04,V444_0,Day 2,878.74
1447145113,PLANT03,PORT04,V444_0,Day 2,549.02
1447145114,PLANT03,PORT04,V444_1,Day 2,282.09
1447145115,PLANT03,PORT04,V444_0,Day 2,677.36
1447145116,PLANT03,PORT04,V444_0,Day 2,571.28
1447145117,PLANT03,PORT04,V444_0,Day 2,357.03
1447145120,PLANT03,PORT04,V444_0,Day 2,481.75
1447145121,PLANT03,PORT04,V444_4,Day 2,385.81
1447145122,PLANT03,PORT04,V444_0,Day 2,417.06
1447145123,PLANT03,PORT04,V444_4,Day 2,341.7
1447145124,PLANT03,PORT04,V444_1,Day 2,313.66
1447145125,PLANT03,PORT04,V444_0,Day 2,333.23
1447145126,PLANT03,PORT04,V444_1,Day 2,240.73
1447145127,PLANT03,PORT04,V444_4,Day 2,376.44
1447145128,PLANT03,PORT04,V444_1,Day 2,308.48
1447145129,PLANT03,PORT04,V444_0,Day 2,543.85
1447145130,PLANT03,PORT04,V444_0,Day 2,466.22
1447145131,PLANT03,PORT04,V444_1,Day 2,295.54
1447145151,PLANT03,PORT04,V444_4,Day 2,388.02
1447145159,PLANT03,PORT04,V444_0,Day 2,701.28
1447145170,PLANT03,PORT04,V444_4,Day 2,789.93
1447145171,PLANT03,PORT04,V444_4,Day 2,404.84
1447145172,PLANT03,PORT04,V444_0,Day 2,358.07
1447145173,PLANT03,PORT04,V444_0,Day 2,461.05
1447145174,PLANT03,PORT04,V444_0,Day 2,507.98
1447145175,PLANT03,PORT04,V444_0,Day 2,595.08
1447145176,PLANT03,PORT04,V444_4,Day 2,248.88
1447145177,PLANT03,PORT04,V444_0,Day 2,732.22
1447145178,PLANT03,PORT04,V444_0,Day 2,331.16
1447145179,PLANT03,PORT04,V444_0,Day 2,696.51
1447145180,PLANT03,PORT04,V444_0,Day 2,995.11
1447145181,PLANT03,PORT04,V444_0,Day 2,971.82
1447145182,PLANT03,PORT04,V444_0,Day 2,525.22
1447145183,PLANT03,PORT04,V444_0,Day 2,422.75
1447145184,PLANT03,PORT04,V444_4,Day 2,231.29
1447145185,PLANT03,PORT04,V444_0,Day 2,469.33
1447145186,PLANT03,PORT04,V444_4,Day 2,298.99
1447145187,PLANT03,PORT04,V444_0,Day 2,9581.99
1447145219,PLANT03,PORT04,V444_1,Day 2,252.59
1447145220,PLANT03,PORT04,V444_1,Day 3,373.85
1447145221,PLANT03,PORT04,V444_4,Day 3,341.64
1447145222,PLANT03,PORT04,V444_0,Day 3,373.71
1447145225,PLANT03,PORT04,V444_0,Day 3,961.08
1447145226,PLANT03,PORT04,V444_0,Day 3,572.95
1447145249,PLANT03,PORT04,V444_0,Day 3,401.66
1447145250,PLANT03,PORT04,V444_1,Day 3,363.93
1447145251,PLANT03,PORT04,V444_0,Day 3,380.44
1447145252,PLANT03,PORT04,V444_0,Day 3,403.73
1447145256,PLANT03,PORT04,V444_0,Day 3,504.12
1447145257,PLANT03,PORT04,V444_0,Day 3,496.88
1447145258,PLANT03,PORT04,V444_4,Day 3,399.87
1447145259,PLANT03,PORT04,V444_0,Day 3,490.15
1447145262,PLANT03,PORT04,V444_0,Day 3,539.43
1447145307,PLANT03,PORT04,V444_0,Day 3,513.96
1447145308,PLANT03,PORT04,V444_0,Day 3,391.83
1447145311,PLANT03,PORT04,V444_0,Day 3,451.86
1447145318,PLANT03,PORT04,V444_1,Day 3,345.43
1447145367,PLANT03,PORT04,V444_0,Day 3,348.47
1447145413,PLANT03,PORT04,V444_0,Day 3,2216.53
1447145766,PLANT03,PORT04,V444_0,Day 3,365.03
1447145767,PLANT03,PORT04,V444_0,Day 3,342.78
1447145768,PLANT03,PORT04,V444_0,Day 3,335.53
1447145769,PLANT03,PORT04,V444_0,Day 3,328.29
1447145770,PLANT03,PORT04,V444_0,Day 3,329.84
1447145842,PLANT03,PORT04,V444_0,Day 3,3978.21
1447145843,PLANT03,PORT04,V444_0,Day 3,3974.07
1447145915,PLANT02,PORT03,V444_8,Day 2,282.14
1447145965,PLANT03,PORT04,V444_0,Day 3,1386.46
1447145968,PLANT03,PORT04,V444_4,Day 3,711.58
1447145969,PLANT03,PORT04,V444_4,Day 3,702.27
1447145979,PLANT03,PORT04,V444_0,Day 3,452.37
1447145984,PLANT03,PORT04,V444_0,Day 3,1380.25
1447145986,PLANT03,PORT04,V444_0,Day 3,1239.49
1447145987,PLANT03,PORT04,V444_0,Day 3,482.91
1447145988,PLANT03,PORT04,V444_0,Day 3,1048.53
1447145989,PLANT03,PORT04,V444_1,Day 3,396.67
1447145991,PLANT03,PORT04,V444_4,Day 3,704.86
1447145992,PLANT03,PORT04,V444_4,Day 3,678.46
1447146019,PLANT03,PORT04,V444_1,Day 3,454.63
1447146021,PLANT03,PORT04,V444_4,Day 3,690.37
1447146022,PLANT03,PORT04,V444_4,Day 3,707.44
1447146025,PLANT03,PORT04,V444_0,Day 3,477.73
1447146027,PLANT03,PORT04,V444_4,Day 3,376.31
1447146028,PLANT03,PORT04,V444_0,Day 3,721.47
1447146029,PLANT03,PORT04,V444_1,Day 3,380.49
1447146030,PLANT03,PORT04,V444_1,Day 3,342.72
1447146042,PLANT03,PORT04,V444_0,Day 3,617.97
1447146044,PLANT03,PORT04,V444_4,Day 3,685.06
1447146045,PLANT03,PORT04,V444_0,Day 3,1802.01
1447146073,PLANT03,PORT04,V444_0,Day 3,1329.02
1447146074,PLANT03,PORT04,V444_1,Day 3,364.45
1447146075,PLANT03,PORT04,V444_4,Day 3,345.22
1447146076,PLANT03,PORT04,V444_0,Day 3,656.27
1447146077,PLANT03,PORT04,V444_1,Day 3,350.48
1447146307,PLANT03,PORT04,V444_0,Day 3,429.09
1447146407,PLANT07,PORT02,V444_5,Day 1,430.28
1447146420,PLANT03,PORT04,V444_0,Day 3,31387.54
1447146425,PLANT03,PORT04,V444_0,Day 3,356.23
1447146522,PLANT03,PORT04,V444_0,Day 3,588.59
1447146529,PLANT03,PORT04,V444_0,Day 3,767.64
1447146530,PLANT03,PORT04,V444_0,Day 3,386.76
1447146531,PLANT03,PORT04,V444_0,Day 3,501.13
1447146532,PLANT03,PORT04,V444_0,Day 3,414.19
1447146533,PLANT03,PORT04,V444_0,Day 3,375.9
1447146534,PLANT03,PORT04,V444_0,Day 3,2007.78
1447146535,PLANT03,PORT04,V444_0,Day 3,2036.55
1447146536,PLANT03,PORT04,V444_0,Day 3,680.19
1447146537,PLANT03,PORT04,V444_0,Day 3,524.94
1447146538,PLANT03,PORT04,V444_0,Day 3,402.81
1447146539,PLANT03,PORT04,V444_0,Day 3,441.1
1447146540,PLANT03,PORT04,V444_0,Day 3,395.56
1447146541,PLANT03,PORT04,V444_0,Day 3,397.63
1447146542,PLANT03,PORT04,V444_0,Day 3,391.42
1447146543,PLANT03,PORT04,V444_0,Day 3,390.9
1447146544,PLANT03,PORT04,V444_0,Day 3,398.67
1447146545,PLANT04,PORT05,V444_5,Day 1,855.87
1447146553,PLANT03,PORT04,V444_0,Day 3,418.85
1447146557,PLANT03,PORT04,V444_0,Day 3,628.52
1447146558,PLANT03,PORT04,V444_0,Day 3,469.05
1447146559,PLANT03,PORT04,V444_0,Day 3,847.86
1447146560,PLANT03,PORT04,V444_0,Day 3,351.57
1447146566,PLANT03,PORT04,V444_0,Day 3,361.41
1447146568,PLANT03,PORT04,V444_0,Day 3,368.65
1447146569,PLANT03,PORT04,V444_0,Day 3,348.99
1447146577,PLANT03,PORT04,V444_0,Day 3,379.0
1447146578,PLANT03,PORT04,V444_0,Day 3,1989.46
1447146620,PLANT03,PORT04,V444_0,Day 3,357.27
1447146621,PLANT03,PORT04,V444_0,Day 3,417.3
1447146628,PLANT03,PORT04,V444_0,Day 3,1635.49
1447146640,PLANT03,PORT04,V444_0,Day 3,513.03
1447146649,PLANT03,PORT04,V444_0,Day 3,479.91
1447146659,PLANT03,PORT04,V444_0,Day 3,347.95
1447146664,PLANT03,PORT04,V444_0,Day 3,3130.89
1447146671,PLANT03,PORT04,V444_0,Day 3,389.87
1447146694,PLANT03,PORT04,V444_0,Day 3,400.22
1447146695,PLANT03,PORT04,V444_0,Day 3,391.94
1447146696,PLANT03,PORT04,V444_0,Day 3,415.23
1447146697,PLANT03,PORT04,V444_0,Day 3,383.14
1447146707,PLANT03,PORT04,V444_0,Day 3,611.87
1447146708,PLANT03,PORT04,V444_0,Day 3,397.11
1447146709,PLANT03,PORT04,V444_0,Day 3,358.3
1447146724,PLANT03,PORT04,V444_0,Day 3,1709.43
1447146746,PLANT03,PORT04,V444_0,Day 3,590.66
1447146747,PLANT03,PORT04,V444_0,Day 3,790.41
1447146748,PLANT03,PORT04,V444_0,Day 3,786.27
1447146749,PLANT03,PORT04,V444_0,Day 3,806.46
1447146754,PLANT03,PORT04,V444_0,Day 3,355.71
1447146755,PLANT03,PORT04,V444_0,Day 3,372.79
1447146772,PLANT03,PORT04,V444_0,Day 3,332.43
1447146773,PLANT03,PORT04,V444_0,Day 3,652.24
1447146787,PLANT03,PORT04,V444_0,Day 3,379.52
1447146789,PLANT03,PORT04,V444_0,Day 3,357.78
1447146800,PLANT03,PORT04,V444_0,Day 3,458.18
1447146801,PLANT03,PORT04,V444_0,Day 3,1405.72
1447146830,PLANT03,PORT04,V444_0,Day 3,513.55
1447146831,PLANT03,PORT04,V444_0,Day 3,575.65
1447146832,PLANT03,PORT04,V444_0,Day 3,420.4
1447146833,PLANT03,PORT04,V444_0,Day 3,463.87
1447146888,PLANT03,PORT04,V444_0,Day 3,391.94
1447146889,PLANT03,PORT04,V444_0,Day 3,397.11
1447146891,PLANT03,PORT04,V444_0,Day 3,623.26
1447146892,PLANT03,PORT04,V444_0,Day 3,370.2
1447146919,PLANT03,PORT04,V444_0,Day 3,988.98
1447146923,PLANT04,PORT05,V444_5,Day 1,632.19
1447147490,PLANT03,PORT04,V444_0,Day 3,394.93
1447147589,PLANT03,PORT04,V444_0,Day 3,7080.63
1447147777,PLANT04,PORT05,V444_5,Day 1,2033.92
1447147778,PLANT04,PORT05,V444_5,Day 1,139.84
1447147785,PLANT03,PORT04,V444_0,Day 3,539.83
1447147786,PLANT03,PORT04,V444_4,Day 3,356.65
1447147820,PLANT03,PORT04,V444_1,Day 3,372.73
1447147836,PLANT03,PORT04,V444_0,Day 3,328.29
1447147837,PLANT03,PORT04,V444_0,Day 3,357.78
1447147908,PLANT03,PORT04,V444_0,Day 3,377.97
1447147909,PLANT03,PORT04,V444_0,Day 3,365.55
1447147910,PLANT03,PORT04,V444_0,Day 3,363.48
1447147911,PLANT03,PORT04,V444_0,Day 3,354.68
1447147912,PLANT03,PORT04,V444_0,Day 3,352.61
1447147913,PLANT03,PORT04,V444_0,Day 3,349.5
1447147914,PLANT03,PORT04,V444_0,Day 3,354.16
1447147915,PLANT03,PORT04,V444_0,Day 3,388.83
1447147916,PLANT03,PORT04,V444_0,Day 3,346.92
1447148033,PLANT03,PORT04,V444_0,Day 3,362.96
1447148125,PLANT12,PORT04,V444_4,Day 2,318.64
1447148225,PLANT04,PORT05,V444_5,Day 1,138.13
1447148305,PLANT02,PORT03,V444_8,Day 2,288.82
1447148608,PLANT12,PORT04,V444_4,Day 2,292.28
1447148656,PLANT02,PORT03,V444_8,Day 2,265.43
1447148658,PLANT03,PORT04,V444_1,Day 3,326.8
1447148659,PLANT02,PORT03,V444_8,Day 2,321.77
1447148724,PLANT02,PORT03,V444_8,Day 2,270.2
1447148725,PLANT03,PORT04,V444_0,Day 3,428.57
1447148726,PLANT03,PORT04,V444_1,Day 3,340.65
1447148727,PLANT02,PORT03,V444_8,Day 2,432.55
1447148730,PLANT02,PORT03,V444_8,Day 2,291.21
1447148731,PLANT02,PORT03,V444_8,Day 2,293.12
1447148732,PLANT02,PORT03,V444_8,Day 2,291.69
1447148736,PLANT03,PORT04,V444_0,Day 3,491.32
1447149002,PLANT03,PORT04,V444_0,Day 3,25697.69
1447149015,PLANT12,PORT04,V444_0,Day 2,341.93
1447149016,PLANT12,PORT04,V444_0,Day 2,319.51
1447149039,PLANT12,PORT04,V444_0,Day 2,423.11
1447149061,PLANT12,PORT04,V444_0,Day 2,349.66
1447149075,PLANT12,PORT04,V444_0,Day 2,334.2
1447149076,PLANT12,PORT04,V444_0,Day 2,321.83
1447149098,PLANT03,PORT04,V444_0,Day 3,374.34
1447149102,PLANT12,PORT04,V444_0,Day 2,360.49
1447149103,PLANT12,PORT04,V444_0,Day 2,340.39
1447149104,PLANT03,PORT04,V444_0,Day 3,7598.64
1447149108,PLANT03,PORT04,V444_0,Day 3,10720.2
1447149110,PLANT03,PORT04,V444_0,Day 3,18459.93
1447149175,PLANT03,PORT04,V444_0,Day 3,343.81
1447149203,PLANT03,PORT04,V444_0,Day 3,354.16
1447149210,PLANT03,PORT04,V444_0,Day 3,410.57
1447149216,PLANT12,PORT04,V444_0,Day 2,329.56
1447149217,PLANT03,PORT04,V444_0,Day 3,461.28
1447149229,PLANT12,PORT04,V444_0,Day 2,392.96
1447149281,PLANT03,PORT04,V444_0,Day 3,441.1
1447149290,PLANT03,PORT04,V444_0,Day 3,8738.37
1447149291,PLANT03,PORT04,V444_0,Day 3,9665.83
1447149295,PLANT03,PORT04,V444_0,Day 3,391.94
1447149300,PLANT03,PORT04,V444_0,Day 3,509.41
1447149301,PLANT03,PORT04,V444_0,Day 3,351.06
1447149309,PLANT03,PORT04,V444_0,Day 3,861.83
1447149313,PLANT03,PORT04,V444_0,Day 3,362.96
1447149320,PLANT03,PORT04,V444_0,Day 3,1403.13
1447149328,PLANT03,PORT04,V444_0,Day 3,5507.94
